source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,random_index,ruwe,teff_gspphot,logg_gspphot,lum_flame,mass_flame,radius_flame
2475331528340199936,18.600727000304676,-7.921590239401472,41.57471919228731,392.8332,5.0169754,1504685688,0.8610131,6346.4976,4.0818,4.238291,1.3285756,1.7028289
2506940941450644864,32.16902008049603,-0.3603314279417269,25.3474727604123,1460.6262,10.403863,1803622466,1.0755291,4208.3965,4.6571,0.11408758,0.6608597,0.635309
2515037264041041536,33.07959930325112,3.567385154970191,95.16060614858952,3857.4338,9.205841,1162474466,1.3375835,3619.5676,4.79,0.03307891,,0.46252042
2519329585637068160,30.727661036800804,5.7026750284688426,34.81566006709625,2042.2684,11.546009,382909203,1.1018585,3713.7551,4.8847,0.024624202,,0.37907612
2520320692290396416,33.81343094512001,6.9909838456079845,26.68324713916238,780.08057,13.7810755,1565088850,1.3800484,3005.1335,4.3392,0.009695852,,0.32899484
2523361151179609344,10.197852897678386,-7.233021718032282,37.79239070521752,1359.8148,6.8973174,978061164,0.97919255,5691.9546,4.4065,0.91581017,0.9716409,0.98409295
2531792756096759296,19.247009203576003,-2.2797825390714745,34.81428430821784,1386.6837,6.3952374,454606931,0.9692873,5992.3765,4.239,1.6739824,1.0693876,1.2003893
2560907411683036672,27.3567560848055,4.226352856410329,30.000243610691687,737.50916,15.498599,83058577,0.9864292,3006.6848,5.122,0.0015990748,,0.14718434
2624473821016952320,338.8746717879047,-5.92781745925046,25.730058725556297,1833.0957,13.052535,1736074155,1.1015928,3354.6902,4.8514,0.016077796,,0.37550557
2628695219817688448,338.20336298865146,-2.945877615676549,26.79195681885486,1683.3462,8.699928,1236414707,0.8408656,4925.843,4.5206,0.37301704,,0.8386287
2633292522747082112,351.65287303206264,-4.7554855587815466,26.771770051070717,1634.5493,13.3004875,697165340,1.1606009,3285.9119,4.9105,0.012968561,,0.3518861
2646280705713202816,353.75266493033126,1.605525000716962,47.9641231232799,2033.2848,9.039198,266917791,1.0670813,3896.6836,4.3969,0.11995568,0.66037154,0.6670184
2683717740904604544,331.9086558469548,3.415080144173426,25.11117359650139,1327.7094,8.744874,656589340,1.1006092,5187.683,4.5316,0.39319623,0.82806206,0.8027086
2687557579106621824,321.992888361872,-0.6653667818475082,31.307440269499203,1478.5874,11.097921,1179788178,1.1623652,3738.6172,4.6699,0.058733422,0.5616495,0.578019
2701687368675292672,325.79300232317223,7.751129763040756,34.48090295668997,1008.3959,14.611111,1746105659,1.1025891,3003.9526,5.0592,0.0032293666,,0.20979242
2718229826057024384,342.2698873008609,10.605769195682678,27.042873852062083,1442.215,10.013298,1618420938,1.2232952,4292.6333,4.6425,0.139198,,0.67463803
2735478934409535872,334.3324783543301,15.35937698946385,25.97886781738296,1476.0721,12.527138,1668072957,1.296969,3292.4722,4.3463,0.02428608,,0.49235618
2740276790837215488,359.5463389078518,3.890106141645149,29.774134921124222,829.8019,14.7476,1146993294,1.0799346,3017.8306,5.0328,0.0038104143,,0.22580004
2809061173118194944,12.538037127635036,27.8999504201062,30.07901084757908,1554.2715,13.537624,381725497,1.2863107,3102.6675,4.4189,0.00819689,,0.3143462
2814501281775322240,350.852996293178,15.569218814360536,46.82544110292936,2323.3171,10.709062,1221947028,1.1317908,3523.625,4.6141,0.036143206,,0.5248973
2833087529409814528,339.9648219576965,18.076575651195785,25.57923933184584,1113.2343,14.099225,56050481,1.0778213,3213.731,4.9916,0.007078761,,0.27139878
